Tutorial Group,Student ID,School,Name,Gender,CGPA
G-101,5210,CoE,Amaya Sharma,Female,4.15
G-101,2425,SPMS,Asher Nelson,Male,4.21
G-101,1545,SPMS,Carter Thompson,Male,4.03
G-101,621,CCDS,Christopher Cox,Male,4.12
G-101,23,CCEB,Daphne Tan,Female,4.26
G-101,3088,MSE,Eli Cruz,Male,4.11
G-101,849,SSS,Ethan Taylor,Male,4.15
G-101,4173,SBS,Evelyn Cheung,Female,4.48
G-101,4167,SPMS,Farhan Bin Azhar,Male,4.2
G-101,5015,ASE,Fatima Bhatia,Female,4.19
G-101,615,SPMS,Gia Tsai,Female,3.89
G-101,5809,CoE,Hannah Smith,Female,4.11
G-101,4526,CCDS,Hope Chen,Female,4.04
G-101,5741,SBS,Isla Young,Female,4.17
G-101,1293,CCEB,Jasper Wang,Male,4.08
G-101,4896,EEE,Jaxon Lewis,Male,4.12
G-101,410,CoB (NBS),Jin Yang Tan,Male,3.95
G-101,762,CoE,Kate Tan,Female,4.03
G-101,4393,EEE,Kevin Brown,Male,4.18
G-101,1839,LKCMedicine,Kexin,Female,4
G-101,5191,CCEB,Khayla Rahayu,Female,4.15
G-101,1353,MAE,Kieran Harris,Male,3.91
G-101,1346,SSS,Lola Tan,Female,4.2
G-101,5468,CCDS,Lucas Chen,Male,4.12
G-101,3382,CoB (NBS),Madiha Ali,Female,3.9
G-101,4346,SBS,Manish Singh,Male,4.1
G-101,3593,MAE,Minghao,Male,4.15
G-101,2828,NIE,Nguyen Hoang Long,Male,4.05
G-101,1235,CCDS,Nguyen Thi Binh,Female,4.21
G-101,5633,CCEB,Ning Li,Female,4.09
G-101,5987,MAE,Owen Nugroho,Male,4.15
G-101,665,SPMS,Qi Chen,Male,4.04
G-101,5291,CoB (NBS),Rachel Choi,Female,4.12
G-101,35,SoH,Riley Lim,Male,4.48
G-101,2986,CCDS,Rishi Tan,Male,4.08
G-101,2349,EEE,Sandeep Rao,Male,4.14
G-101,757,CCEB,Savannah Torres,Female,4.2
G-101,2852,NIE,Shayla Wang,Female,4.01
G-101,4045,MAE,Sofia Reddy,Female,4.09
G-101,2337,CoB (NBS),Sophia Jones,Female,4.18
G-101,5461,CoB (NBS),Suraj Mishra,Male,4.08
G-101,456,MAE,Wani Binti Jalil,Female,4
G-101,4928,SPMS,Weijun,Male,3.85
G-101,696,NIE,Wyatt Price,Male,3.95
G-101,437,CoE,Xiao Ming,Male,4.17
G-101,3546,SoH,Ying Wong,Female,3.88
G-101,2753,MAE,Zadie Harris,Female,4.52
G-101,715,ASE,Zoe King,Female,3.88
G-102,783,CCDS,Ajay Bhatt,Male,4.22
G-102,3592,EEE,Alina Awan,Female,4.1
G-102,5928,SSS,Anjali Kumar,Female,3.95
G-102,5144,CCEB,Aria Murphy,Female,4.2
G-102,3439,SBS,Asher Clark,Male,4.03
G-102,5888,CEE,Bradley Yang,Male,4.09
G-102,2315,SPMS,Cheng Fang Tan,Male,4.05
G-102,2373,NIE,Elisha Wu,Male,4.23
G-102,2595,CoE,Fariha Noor,Female,4.14
G-102,3820,SSS,Felix Wong,Male,4.14
G-102,2079,CoB (NBS),Gina Lau,Female,4.15
G-102,818,SSS,Hansel Bautista,Male,4.06
G-102,2376,MSE,Hao Yang Tan,Male,4.3
G-102,3692,EEE,Harsh Kumar,Male,4.05
G-102,2403,MAE,Henry Tan,Male,4.12
G-102,337,CoB (NBS),Kanwal Bukhari,Female,4.16
G-102,3413,SSS,Kiran Shah,Female,4.12
G-102,5447,CCDS,Lan Nguyen,Female,4.15
G-102,902,MSE,Layla Cooper,Female,4.03
G-102,2221,EEE,Levi Huang,Male,4.04
G-102,2192,SPMS,Liu Fang,Female,4.03
G-102,2246,SoH,Luca Torres,Male,4.12
G-102,39,EEE,Lyric Tan,Female,4.04
G-102,5690,CCEB,Maharani Sari,Female,4.3
G-102,448,SSS,Margarita Sokolova,Female,4.03
G-102,103,CoE,Maximus Wright,Male,4.05
G-102,3043,CoE,Maya Sari,Female,4.15
G-102,3957,CEE,Megan Walker,Female,4.06
G-102,4862,CCDS,Melati Ahmad,Female,3.88
G-102,5578,CCDS,Minh Tran,Male,4.03
G-102,5147,SoH,Min-Ji Park,Female,4.03
G-102,3717,EEE,Nafisa Ali,Female,3.95
G-102,613,SBS,Nina Phillips,Female,4.11
G-102,2720,WKW SCI,Nira Gupta,Female,4.12
G-102,714,CoB (NBS),Nisha Gupta,Female,4.21
G-102,4404,MAE,Omar Farooq,Male,4.2
G-102,1688,MSE,Pranata Santoso,Male,3.95
G-102,956,SBS,Raj Tan,Male,4.17
G-102,4386,WKW SCI,Riku Takeda,Male,4.01
G-102,3168,MAE,Sakshi Iyer,Female,3.94
G-102,828,SSS,Sakshi Singh,Female,4.14
G-102,2560,SBS,Simran Singh,Female,4.03
G-102,1634,CCDS,Sofia Hernandez,Female,4.26
G-102,5023,LKCMedicine,Svetlana Chernyshova,Female,4.06
G-102,1768,SoH,Travis Lim,Male,4
G-102,5913,MAE,Ulysses Salazar,Male,4.2
G-102,2013,NIE,Wyatt Thompson,Male,4.09
G-102,1362,MAE,Yong Hui,Male,4.21
G-102,3909,CCEB,Zara Lim,Female,4.1
G-102,4379,MAE,Zoe Martinez,Female,4.21
G-103,18,CEE,Alan Chan,Male,4
G-103,1495,CCDS,Amira Tan,Female,4.15
G-103,5493,CCEB,Amna Bukhari,Female,4.11
G-103,5627,SSS,Anjali Singh,Female,4.16
G-103,4132,EEE,Aria Martinez,Female,4.18
G-103,3554,CCDS,Asha Mehta,Female,4.52
G-103,5483,MAE,Camila Li,Female,4.27
G-103,4842,SoH,Carmen Ong,Female,4.09
G-103,397,CoB (NBS),Chong Wang,Male,4.25
G-103,1618,CEE,Dallas Huang,Male,4.09
G-103,2165,CoE,David Young,Male,4.19
G-103,5040,ASE,Dev Sharma,Male,4.26
G-103,4616,ASE,Eli Tan,Male,3.88
G-103,3251,EEE,Emily Scott,Female,4.07
G-103,4224,SoH,Ethan White,Male,4.11
G-103,2559,CEE,Everett Harris,Male,4.14
G-103,2099,CCDS,Fahim Hussein,Male,4.03
G-103,2602,CCDS,Fatima Baig,Female,4.25
G-103,4051,MAE,Fatima Malik,Female,4.18
G-103,1613,SBS,Graham Jackson,Male,3.97
G-103,4964,CCDS,Hannah Sanders,Female,4.2
G-103,3497,NIE,Hikaru Sato,Male,4.14
G-103,4678,SPMS,Irfan Bin Hassan,Male,4
G-103,1553,EEE,Isaac Thompson,Male,4.03
G-103,2679,SSS,Khalil Bin Ismail,Male,4.09
G-103,4612,MAE,Kylie Chen,Female,4.15
G-103,5970,SBS,Layla Fisher,Female,4.01
G-103,1551,CCEB,Maggie Kwan,Female,3.91
G-103,1911,CEE,Mansoor Qureshi,Male,4.12
G-103,1202,SSS,Maya Gonzales,Female,4.22
G-103,835,SoH,Maya Wilson,Female,4.13
G-103,952,MSE,Nadia Binti Zulkifli,Female,3.87
G-103,1879,MSE,Naim Bin Hashim,Male,4.2
G-103,1292,SoH,Queenie Lee,Female,4.06
G-103,925,MSE,Saad Malik,Male,4.05
G-103,4821,CoB (NBS),Samantha Khan,Female,4.19
G-103,778,CoB (NBS),Selina Loh,Female,3.91
G-103,40,LKCMedicine,Shiloh Lin,Female,4.05
G-103,4181,CoB (NBS),Simon Lee,Male,4.02
G-103,4559,EEE,Sofia Kim,Female,4.17
G-103,1847,CoE,Talha Iqbal,Male,4.11
G-103,2601,SSS,Tommy Wu,Male,4.22
G-103,344,CEE,Tyler Hall,Male,4.11
G-103,4809,EEE,Vikram Singh,Male,4.13
G-103,3932,WKW SCI,Vy Nguyen,Male,4.11
G-103,4427,EEE,Willow Wong,Female,4.19
G-103,1787,CEE,Xiao Wei Tan,Male,3.95
G-103,4837,SBS,Yuna Wong,Female,4.07
G-103,2302,CEE,Yvonne Ng,Female,3.8
G-103,2189,CoB (NBS),Zachary Lee,Male,4.11
G-104,2204,EEE,Anaya Singh,Female,4
G-104,1395,SoH,Anil Reddy,Male,4.14
G-104,4039,CCDS,Anita Lim,Female,4.06
G-104,4001,SoH,Ashna Mehta,Female,4.06
G-104,4349,WKW SCI,Benjamin Huang,Male,4.11
G-104,90,ASE,Chandra Menon,Male,4.03
G-104,2233,SBS,Chloe Scott,Female,3.85
G-104,2653,CCDS,Chloe Tan,Female,4.17
G-104,2556,MAE,Chloe Wu,Female,4.03
G-104,1446,NIE,Dahlia Chen,Female,4.04
G-104,759,CCDS,Daniel Adams,Male,4.05
G-104,3595,NIE,Eamon Liu,Male,4.16
G-104,5905,CCDS,Emi Yamashita,Female,4.22
G-104,5684,SoH,Emily Johnson,Female,4.03
G-104,4894,CCDS,Fitri Binti Mohd,Female,4
G-104,3268,CoB (NBS),Gideon Torres,Male,4.04
G-104,5570,SPMS,Gideon Zhang,Male,4.01
G-104,82,SSS,Giselle Wu,Female,4.14
G-104,2932,SSS,Gracelyn Dela Cruz,Female,3.96
G-104,4187,SBS,Isha Verma,Female,4.03
G-104,5596,CCDS,Jason Tan,Male,4.16
G-104,1542,WKW SCI,John Lim,Male,3.95
G-104,2962,CoE,Jun Zhang,Male,4.19
G-104,5540,EEE,Kamran Farooq,Male,4.01
G-104,4664,CoE,Lance Alvarado,Male,4.04
G-104,3873,CoB (NBS),Leo Pranata,Male,4.2
G-104,1950,MAE,Lila Wu,Female,4.06
G-104,5263,CoB (NBS),Lily Ong,Female,3.93
G-104,5962,CoB (NBS),Madison Scott,Female,3.92
G-104,5685,CCEB,Maya Rahman,Female,4.06
G-104,2898,SSS,Nancy Yeo,Female,4.08
G-104,3050,CCEB,Nia Wong,Female,3.95
G-104,3937,SSS,Nisha Yadav,Female,4.18
G-104,1375,CEE,Pallavi Mehta,Female,4.09
G-104,238,CCEB,Prashant Joshi,Male,4.03
G-104,2622,EEE,Priya Roy,Female,4.11
G-104,4988,CCDS,Rafael Wong,Male,4.11
G-104,1891,MAE,Ryder Ward,Male,4.15
G-104,2273,SSS,Samantha Ong,Female,4.1
G-104,832,SPMS,Sarah Liu,Female,4.09
G-104,3665,CCDS,Shahid Ali,Male,4.11
G-104,1600,WKW SCI,Sophia Taylor,Female,4.06
G-104,3080,NIE,Tara Wati,Female,3.85
G-104,1649,MAE,Vera Ong,Female,4.09
G-104,33,ASE,Waleed Malik,Male,4.15
G-104,3335,EEE,William Yip,Male,4.22
G-104,5020,NIE,Xena Reed,Female,4.11
G-104,4403,EEE,Ying Zhang,Female,4.18
G-104,2562,SoH,Zainab Noor,Female,4
G-104,5317,CoB (NBS),Zhen Zhang,Male,4.06
G-105,2732,SSS,Addison Lin,Female,4.02
G-105,5909,SSS,Aditi Kumar,Female,4.01
G-105,4744,CCDS,Alyssa Tan,Female,4.1
G-105,1564,EEE,Amina Binti Zain,Female,4.15
G-105,1490,EEE,Amit Agarwal,Male,4.15
G-105,463,MAE,Arjun Nair,Male,3.92
G-105,5816,CCDS,Bennett Liu,Male,4.14
G-105,5339,SoH,Callum Williams,Male,4.19
G-105,4364,MAE,Charlotte Gonzalez,Female,4.22
G-105,1550,CEE,Chen Bo,Male,4.17
G-105,4431,SBS,Chen Li,Female,4.12
G-105,28,CoB (NBS),Claudia Tan,Female,4.09
G-105,3970,CoB (NBS),Cora Zhang,Female,4.15
G-105,1789,NIE,Dallas Liu,Male,4.05
G-105,1927,MSE,Dao Tran,Male,4.15
G-105,2728,EEE,Daphne Li,Female,4.26
G-105,1529,CCDS,Devansh Mehta,Male,4
G-105,401,CoB (NBS),Haruki Suzuki,Male,4.01
G-105,5003,CCDS,Imran Bin Zahid,Male,4.3
G-105,1803,EEE,Isabella Rodriguez,Female,3.86
G-105,5950,CEE,James Jackson,Male,4.09
G-105,1007,CoB (NBS),Jonathan Wu,Male,4.09
G-105,5218,MAE,Julia Tan,Female,4.04
G-105,4869,SPMS,Kiran Rao,Male,4.15
G-105,2913,SoH,Kunal Mehta,Male,4.12
G-105,4510,SBS,Kylie Zhang,Female,4.04
G-105,1043,MAE,Logan Martin,Male,4.12
G-105,3728,MAE,Lola Zhang,Female,4.22
G-105,2392,SoH,Max Johnson,Male,4.21
G-105,333,CCDS,Maya Torres,Female,3.92
G-105,1141,SSS,Mei Chen,Female,4.02
G-105,5355,CoB (NBS),Nicolas Ramos,Male,4.14
G-105,951,SSS,Nisha Bansal,Female,4.15
G-105,5029,WKW SCI,Olivia Miller,Female,3.87
G-105,3108,SSS,Pallavi Kumar,Female,4.1
G-105,4758,CoB (NBS),Ping An,Female,4.1
G-105,5770,NIE,Qiana Lestari,Female,4.25
G-105,800,CoE,Ricky Chen,Male,4.09
G-105,1974,CEE,Ronald Tan,Male,4.05
G-105,3668,ADM,Saad Javed,Male,4.15
G-105,4589,CCEB,Sabrina Zhao,Female,4.11
G-105,5797,MAE,Shahid Raza,Male,4.02
G-105,4188,SSS,Sophie Reed,Female,4.23
G-105,3415,CCDS,Tatum Roberts,Female,4.06
G-105,2161,EEE,Tessa Li,Female,4.14
G-105,2010,CEE,Trung Le,Male,4.06
G-105,500,CoB (NBS),Vincent Wong,Male,4.01
G-105,3345,CCEB,Vira Dwi,Female,3.8
G-105,5377,CCDS,Yang Jun,Male,4.17
G-105,5565,ASE,Yumi Tanaka,Female,4.03
G-106,5676,EEE,Akemi Takahashi,Female,4.12
G-106,4732,EEE,Albert Wang,Male,4.01
G-106,3583,CCEB,Aria Lee,Female,3.88
G-106,3654,CCDS,Aria Tan,Female,4.04
G-106,4934,CCEB,Arya Kapoor,Female,3.97
G-106,5657,SPMS,Charlotte Harris,Female,4.02
G-106,1415,NIE,Cleo Morales,Female,4.02
G-106,3686,EEE,Cole Huang,Male,4.19
G-106,330,EEE,Dylan Li,Male,3.9
G-106,1168,NIE,Eun-Hee Kim,Female,4.14
G-106,113,MAE,Fahad Ali,Male,4.19
G-106,1785,MAE,Gabriella Dela Cruz,Female,4.01
G-106,3471,CCEB,Gandhi Saputra,Male,3.95
G-106,1888,CoE,Guofeng,Female,4.15
G-106,2147,WKW SCI,Hafiz Ahmad,Male,4.14
G-106,3551,EEE,Harrison Moore,Male,4.19
G-106,2385,ADM,Hoang Nguyen,Male,4.02
G-106,5089,MAE,Isla Lee,Female,4.15
G-106,4581,SPMS,Jai Mehta,Male,4
G-106,930,CoE,Jason Robinson,Male,4.52
G-106,3330,SSS,Jingyi,Female,4.15
G-106,5885,EEE,Jun Liu,Female,3.9
G-106,4387,CCEB,Kathy Tan,Female,4.05
G-106,1929,EEE,Kavitha Tan,Female,4.3
G-106,2713,MAE,Kevin Wang,Male,4.09
G-106,5093,MAE,Megan Zhao,Female,4.01
G-106,623,CoB (NBS),Minghao,Female,4
G-106,2588,SoH,Mira Binti Zaki,Female,4.2
G-106,5670,SoH,Miyu Nishimura,Female,4.06
G-106,5088,CCEB,Neelam Rani,Female,3.95
G-106,1580,WKW SCI,Nikhil Sharma,Male,4.11
G-106,164,LKCMedicine,Nisha Verma,Female,4.18
G-106,2112,SoH,Noah Morris,Male,4.11
G-106,4438,EEE,Noel Pineda,Male,4.19
G-106,1294,MAE,Nolan Reyes,Male,4.16
G-106,4317,CoB (NBS),Oliver Martinez,Male,4.12
G-106,3054,CCEB,Om Tan,Male,4.15
G-106,2144,CoE,Oscar Villanueva,Male,4.19
G-106,3001,CCDS,Piper Chen,Female,4.15
G-106,1002,CCEB,Priya Nair,Female,4.12
G-106,5898,CCEB,Quinn Larson,Female,4.12
G-106,4783,MAE,Rahul Mehta,Male,4.08
G-106,4201,SPMS,Reyansh Iyer,Male,4.14
G-106,5983,SPMS,Sergei Ivanovich,Male,4
G-106,1730,CoB (NBS),Siddharth Gupta,Male,4.14
G-106,850,CCDS,Sienna Lee,Female,3.88
G-106,1470,CCEB,Tania Ng,Female,4.15
G-106,3008,CCDS,Thomas Harris,Male,3.95
G-106,4753,EEE,Zara Malik,Female,3.9
G-106,2370,MAE,Zedrick Ong,Male,4.05
G-107,992,SSS,Amara Siti,Female,4.03
G-107,4621,SPMS,Amelia Lewis,Female,4.22
G-107,149,MAE,Ananya Roy,Female,4.08
G-107,1979,NIE,Archer Powell,Male,4.12
G-107,4572,EEE,Arjun Sinha,Male,4.09
G-107,754,MAE,Bria Tsai,Female,4.23
G-107,5767,EEE,Carter Hall,Male,4.14
G-107,2445,SPMS,Chad Dela Cruz,Male,4.02
G-107,2012,SSS,Charu Iyer,Female,3.92
G-107,5790,CCEB,Cheryl Ong,Female,4
G-107,4074,CEE,Daniel Tan,Male,4
G-107,4677,NIE,Emery Wu,Male,4.1
G-107,2715,MAE,Harvey Lim,Male,3.88
G-107,2877,CCDS,Hayden Wu,Female,4.12
G-107,2196,SBS,Jia Li,Female,4.03
G-107,4716,MAE,Joko Susanto,Male,3.9
G-107,180,CEE,Kai Qiang,Male,4.04
G-107,3973,WKW SCI,Karan Patel,Male,4.14
G-107,768,CoB (NBS),Kavita Singh,Female,3.89
G-107,3344,CCDS,Lana Tan,Female,4
G-107,5645,CCEB,Le Van Minh,Female,4.02
G-107,2292,CEE,Lily Lim,Female,4.19
G-107,5804,SPMS,Liu Yang,Male,4.16
G-107,2475,SPMS,Madison Torres,Female,4.12
G-107,2334,EEE,Meera Gupta,Female,4.04
G-107,5132,ASE,Min-Jung Kim,Female,3.85
G-107,112,CoB (NBS),Misha Malik,Female,4.14
G-107,2471,CCDS,Nguyen Thi Hoa,Female,3.87
G-107,937,ASE,Nina Binti Noor,Female,3.86
G-107,4749,WKW SCI,Nina Zhao,Female,4.15
G-107,2916,SSS,Omar Rivera,Male,4.12
G-107,5335,SPMS,Qiang Zhang,Male,4.2
G-107,598,MSE,Riana Binti Abdul,Female,4.25
G-107,4040,CCEB,Rina Ali,Female,4.09
G-107,895,CCEB,Saanvi Roy,Female,4.25
G-107,1212,CoB (NBS),Samantha Sanchez,Female,4.25
G-107,830,CCDS,Samreen Ali,Female,4.07
G-107,5212,EEE,Sana Menon,Female,4.22
G-107,89,CoE,Suresh Bhat,Female,4.14
G-107,1033,WKW SCI,Tanishq Reddy,Male,3.92
G-107,1308,CCEB,Vera Chan,Female,4.1
G-107,4901,MAE,Victoria Reyes,Female,4.2
G-107,4336,EEE,Xiangqi,Male,4
G-107,1463,EEE,Xiao Zhang,Male,4.02
G-107,2941,EEE,Xiaoling Chen,Female,4.02
G-107,1968,SBS,Yumi Hayashi,Female,3.89
G-107,5960,CEE,Yuri Grigorev,Male,4.1
G-107,3867,CoB (NBS),Zane Navarro,Male,4.18
G-107,3849,CCDS,Zane Wong,Male,4.03
G-107,1541,CCEB,Zulaikha Binti Rahman,Female,4
G-108,2926,CCDS,Aarav Nair,Male,3.89
G-108,3985,SPMS,Asher Thompson,Male,4.52
G-108,5153,CoB (NBS),Caleb Parker,Male,4.18
G-108,1678,CCDS,Cameron Ward,Male,4.19
G-108,3921,ADM,Camila Allen,Female,4
G-108,5733,MAE,Chen Ming,Male,4.11
G-108,2511,EEE,Hana Watanabe,Female,4.18
G-108,3128,EEE,Harini Nair,Female,4.02
G-108,4574,CCDS,Hina Waseem,Female,3.95
G-108,2509,CoE,Hugo Long,Male,4.06
G-108,1809,SSS,Ivy Wang,Female,3.89
G-108,5266,WKW SCI,Julian Wu,Male,4.12
G-108,2130,SSS,Kendrick Alvarado,Male,4.18
G-108,2663,NIE,Liam Reddy,Male,4.02
G-108,2716,CoE,Liang Bo,Male,4.19
G-108,3184,CCEB,Lindsey Lin,Female,4.1
G-108,1643,SBS,Mae Chang,Female,4.02
G-108,3972,CEE,Malia Tan,Female,4.08
G-108,2027,CCDS,Mason King,Male,4.18
G-108,3933,CEE,Matthew Martinez,Male,4.57
